ref_id,strike_price,option_type,token,stock_name,series,nubra_name,lot_size,asset,expiry,exchange,derivative_type,isin,asset_type,tick_size,underlying_prev_close,freeze_qty_limit,zanskar_id,prev_close
2009942,2090000,CE,38633,NIFTY2621020900CE,__,OPT_NIFTY_20260210_CE_2090000,65,NIFTY,20260210,NSE,OPT,N/A         ,INDEX_FO,5,2564280.0,1801,,
2009943,2090000,PE,38634,NIFTY2621020900PE,__,OPT_NIFTY_20260210_PE_2090000,65,NIFTY,20260210,NSE,OPT,N/A         ,INDEX_FO,5,2564280.0,1801,1.0,
2016029,2040000,CE,38643,NIFTY2621020400CE,__,OPT_NIFTY_20260210_CE_2040000,65,NIFTY,20260210,NSE,OPT,N/A         ,INDEX_FO,5,2564280.0,1801,2.0,
2016030,2040000,PE,38644,NIFTY2621020400PE,__,OPT_NIFTY_20260210_PE_2040000,65,NIFTY,20260210,NSE,OPT,N/A         ,INDEX_FO,5,2564280.0,1801,3.0,
2072810,1960000,CE,41159,NIFTY2621019600CE,__,OPT_NIFTY_20260210_CE_1960000,65,NIFTY,20260210,NSE,OPT,N/A         ,INDEX_FO,5,2564280.0,1801,4.0,
2072811,1960000,PE,41161,NIFTY2621019600PE,__,OPT_NIFTY_20260210_PE_1960000,65,NIFTY,20260210,NSE,OPT,N/A         ,INDEX_FO,5,2564280.0,1801,5.0,
2072812,1965000,CE,41163,NIFTY2621019650CE,__,OPT_NIFTY_20260210_CE_1965000,65,NIFTY,20260210,NSE,OPT,N/A         ,INDEX_FO,5,2564280.0,1801,6.0,
2072813,1965000,PE,41164,NIFTY2621019650PE,__,OPT_NIFTY_20260210_PE_1965000,65,NIFTY,20260210,NSE,OPT,N/A         ,INDEX_FO,5,2564280.0,1801,7.0,
2072814,1970000,CE,41167,NIFTY2621019700CE,__,OPT_NIFTY_20260210_CE_1970000,65,NIFTY,20260210,NSE,OPT,N/A         ,INDEX_FO,5,2564280.0,1801,8.0,
2072815,1970000,PE,41168,NIFTY2621019700PE,__,OPT_NIFTY_20260210_PE_1970000,65,NIFTY,20260210,NSE,OPT,N/A         ,INDEX_FO,5,2564280.0,1801,9.0,
2072816,1975000,CE,41171,NIFTY2621019750CE,__,OPT_NIFTY_20260210_CE_1975000,65,NIFTY,20260210,NSE,OPT,N/A         ,INDEX_FO,5,2564280.0,1801,10.0,
2072817,1975000,PE,41172,NIFTY2621019750PE,__,OPT_NIFTY_20260210_PE_1975000,65,NIFTY,20260210,NSE,OPT,N/A         ,INDEX_FO,5,2564280.0,1801,11.0,
2008251,2095000,CE,42284,NIFTY2621020950CE,__,OPT_NIFTY_20260210_CE_2095000,65,NIFTY,20260210,NSE,OPT,N/A         ,INDEX_FO,5,2564280.0,1801,12.0,
2008252,2095000,PE,42285,NIFTY2621020950PE,__,OPT_NIFTY_20260210_PE_2095000,65,NIFTY,20260210,NSE,OPT,N/A         ,INDEX_FO,5,2564280.0,1801,13.0,
2008253,2100000,CE,42286,NIFTY2621021000CE,__,OPT_NIFTY_20260210_CE_2100000,65,NIFTY,20260210,NSE,OPT,N/A         ,INDEX_FO,5,2564280.0,1801,14.0,
2008254,2100000,PE,42287,NIFTY2621021000PE,__,OPT_NIFTY_20260210_PE_2100000,65,NIFTY,20260210,NSE,OPT,N/A         ,INDEX_FO,5,2564280.0,1801,15.0,
2008255,2105000,CE,42288,NIFTY2621021050CE,__,OPT_NIFTY_20260210_CE_2105000,65,NIFTY,20260210,NSE,OPT,N/A         ,INDEX_FO,5,2564280.0,1801,16.0,
2008256,2105000,PE,42293,NIFTY2621021050PE,__,OPT_NIFTY_20260210_PE_2105000,65,NIFTY,20260210,NSE,OPT,N/A         ,INDEX_FO,5,2564280.0,1801,17.0,
