ref_id,asset,stock_name,strike_price,option_type,expiry,exchange,lot_size,tick_size
1069689,ADANIENT,ADANIENT26FEB2000CE,200000,CE,20260224,NSE,309,5
1069690,ADANIENT,ADANIENT26FEB2000PE,200000,PE,20260224,NSE,309,5
1136080,ADANIENT,ADANIENT26FEB2020CE,202000,CE,20260224,NSE,309,5
1136081,ADANIENT,ADANIENT26FEB2020PE,202000,PE,20260224,NSE,309,5
1069691,ADANIENT,ADANIENT26FEB2040CE,204000,CE,20260224,NSE,309,5
1069692,ADANIENT,ADANIENT26FEB2040PE,204000,PE,20260224,NSE,309,5
1136082,ADANIENT,ADANIENT26FEB2060CE,206000,CE,20260224,NSE,309,5
1136083,ADANIENT,ADANIENT26FEB2060PE,206000,PE,20260224,NSE,309,5
1069693,ADANIENT,ADANIENT26FEB2080CE,208000,CE,20260224,NSE,309,5
1069694,ADANIENT,ADANIENT26FEB2080PE,208000,PE,20260224,NSE,309,5
1136084,ADANIENT,ADANIENT26FEB2100CE,210000,CE,20260224,NSE,309,5
1136085,ADANIENT,ADANIENT26FEB2100PE,210000,PE,20260224,NSE,309,5
1069695,ADANIENT,ADANIENT26FEB2120CE,212000,CE,20260224,NSE,309,5
1069696,ADANIENT,ADANIENT26FEB2120PE,212000,PE,20260224,NSE,309,5
1136086,ADANIENT,ADANIENT26FEB2140CE,214000,CE,20260224,NSE,309,5
1136087,ADANIENT,ADANIENT26FEB2140PE,214000,PE,20260224,NSE,309,5
1069697,ADANIENT,ADANIENT26FEB2160CE,216000,CE,20260224,NSE,309,5
1069698,ADANIENT,ADANIENT26FEB2160PE,216000,PE,20260224,NSE,309,5
1136088,ADANIENT,ADANIENT26FEB2180CE,218000,CE,20260224,NSE,309,5
1136089,ADANIENT,ADANIENT26FEB2180PE,218000,PE,20260224,NSE,309,5
1069699,ADANIENT,ADANIENT26FEB2200CE,220000,CE,20260224,NSE,309,5
1069700,ADANIENT,ADANIENT26FEB2200PE,220000,PE,20260224,NSE,309,5
1136090,ADANIENT,ADANIENT26FEB2220CE,222000,CE,20260224,NSE,309,5
1136091,ADANIENT,ADANIENT26FEB2220PE,222000,PE,20260224,NSE,309,5
1069701,ADANIENT,ADANIENT26FEB2240CE,224000,CE,20260224,NSE,309,5
1069702,ADANIENT,ADANIENT26FEB2240PE,224000,PE,20260224,NSE,309,5
1136092,ADANIENT,ADANIENT26FEB2260CE,226000,CE,20260224,NSE,309,5
1136093,ADANIENT,ADANIENT26FEB2260PE,226000,PE,20260224,NSE,309,5
1069703,ADANIENT,ADANIENT26FEB2280CE,228000,CE,20260224,NSE,309,5
1069704,ADANIENT,ADANIENT26FEB2280PE,228000,PE,20260224,NSE,309,5
1136094,ADANIENT,ADANIENT26FEB2300CE,230000,CE,20260224,NSE,309,5
1136095,ADANIENT,ADANIENT26FEB2300PE,230000,PE,20260224,NSE,309,5
1069705,ADANIENT,ADANIENT26FEB2320CE,232000,CE,20260224,NSE,309,5
1069706,ADANIENT,ADANIENT26FEB2320PE,232000,PE,20260224,NSE,309,5
1136096,ADANIENT,ADANIENT26FEB2340CE,234000,CE,20260224,NSE,309,5
1136097,ADANIENT,ADANIENT26FEB2340PE,234000,PE,20260224,NSE,309,5
1069707,ADANIENT,ADANIENT26FEB2360CE,236000,CE,20260224,NSE,309,5
1069708,ADANIENT,ADANIENT26FEB2360PE,236000,PE,20260224,NSE,309,5
1136098,ADANIENT,ADANIENT26FEB2380CE,238000,CE,20260224,NSE,309,5
1136099,ADANIENT,ADANIENT26FEB2380PE,238000,PE,20260224,NSE,309,5
1069709,ADANIENT,ADANIENT26FEB2400CE,240000,CE,20260224,NSE,309,5
1069710,ADANIENT,ADANIENT26FEB2400PE,240000,PE,20260224,NSE,309,5
1136335,ADANIGREEN,ADANIGREEN26FEB850CE,85000,CE,20260224,NSE,600,5
1136336,ADANIGREEN,ADANIGREEN26FEB850PE,85000,PE,20260224,NSE,600,5
1136337,ADANIGREEN,ADANIGREEN26FEB860CE,86000,CE,20260224,NSE,600,5
1136338,ADANIGREEN,ADANIGREEN26FEB860PE,86000,PE,20260224,NSE,600,5
1136339,ADANIGREEN,ADANIGREEN26FEB870CE,87000,CE,20260224,NSE,600,5
1136340,ADANIGREEN,ADANIGREEN26FEB870PE,87000,PE,20260224,NSE,600,5
1069798,ADANIGREEN,ADANIGREEN26FEB880CE,88000,CE,20260224,NSE,600,5
1069799,ADANIGREEN,ADANIGREEN26FEB880PE,88000,PE,20260224,NSE,600,5
1136341,ADANIGREEN,ADANIGREEN26FEB890CE,89000,CE,20260224,NSE,600,5
1136342,ADANIGREEN,ADANIGREEN26FEB890PE,89000,PE,20260224,NSE,600,5
1136343,ADANIGREEN,ADANIGREEN26FEB900CE,90000,CE,20260224,NSE,600,5
1136344,ADANIGREEN,ADANIGREEN26FEB900PE,90000,PE,20260224,NSE,600,5
1136345,ADANIGREEN,ADANIGREEN26FEB910CE,91000,CE,20260224,NSE,600,5
1136346,ADANIGREEN,ADANIGREEN26FEB910PE,91000,PE,20260224,NSE,600,5
1069800,ADANIGREEN,ADANIGREEN26FEB920CE,92000,CE,20260224,NSE,600,5
1069801,ADANIGREEN,ADANIGREEN26FEB920PE,92000,PE,20260224,NSE,600,5
1136347,ADANIGREEN,ADANIGREEN26FEB930CE,93000,CE,20260224,NSE,600,5
1136348,ADANIGREEN,ADANIGREEN26FEB930PE,93000,PE,20260224,NSE,600,5
1136349,ADANIGREEN,ADANIGREEN26FEB940CE,94000,CE,20260224,NSE,600,5
1136350,ADANIGREEN,ADANIGREEN26FEB940PE,94000,PE,20260224,NSE,600,5
1136351,ADANIGREEN,ADANIGREEN26FEB950CE,95000,CE,20260224,NSE,600,5
1136352,ADANIGREEN,ADANIGREEN26FEB950PE,95000,PE,20260224,NSE,600,5
1079394,HDFCBANK,HDFCBANK26FEB850CE,85000,CE,20260224,NSE,550,5
1079395,HDFCBANK,HDFCBANK26FEB850PE,85000,PE,20260224,NSE,550,5
1148514,HDFCBANK,HDFCBANK26FEB855CE,85500,CE,20260224,NSE,550,5
1148515,HDFCBANK,HDFCBANK26FEB855PE,85500,PE,20260224,NSE,550,5
1079396,HDFCBANK,HDFCBANK26FEB860CE,86000,CE,20260224,NSE,550,5
1079397,HDFCBANK,HDFCBANK26FEB860PE,86000,PE,20260224,NSE,550,5
1148516,HDFCBANK,HDFCBANK26FEB865CE,86500,CE,20260224,NSE,550,5
1148517,HDFCBANK,HDFCBANK26FEB865PE,86500,PE,20260224,NSE,550,5
1079398,HDFCBANK,HDFCBANK26FEB870CE,87000,CE,20260224,NSE,550,5
1079399,HDFCBANK,HDFCBANK26FEB870PE,87000,PE,20260224,NSE,550,5
1148518,HDFCBANK,HDFCBANK26FEB875CE,87500,CE,20260224,NSE,550,5
